product_url,product_name,product_sku,product_price,product_img,product_description,color
https://www.next.co.il/he/_next/data/1014384/he/style/su305096/b67445.json,"אפור - חולצת אוקספורד עם שרוולים ארוכים, %100 כותנה סרוקה",B67-445,96,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B67445s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B67445s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B67445s3.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B67445s4.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B67445s5.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B67445s6.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B67445s7.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B67445s8.jpg","<p data-sl-variant=""toneOfVoice"">חולצות אוקספורד שלנו, קלאסיות בארון בגדים, עשויות מכותנה בעלת מרקם מוברש לתחושה רכה ונוחה. מעוצב עם צווארון כפתור, כיס חזה יחיד ושולי צורה עדינים. חולצות יומיומיות החכמות המושלמות שתלבש פעם אחר פעם.</p><ul><li>חולצהמכופתרת</li><li>כותנה מוברשת</li><li>שרוול ארוך</li><li>Single pocket</li></ul><p><br /></p>",אפור
https://www.next.co.il/he/_next/data/1014384/he/style/su305096/b42831.json,"צבע אבן טבעי - חולצת אוקספורד עם שרוולים ארוכים, %100 כותנה סרוקה",B42-831,96,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B42831s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B42831s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B42831s3.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B42831s4.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B42831s5.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B42831s6.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B42831s7.jpg","<p data-sl-variant=""toneOfVoice"">חולצות אוקספורד שלנו, קלאסיות בארון בגדים, עשויות מכותנה בעלת מרקם מוברש לתחושה רכה ונוחה. מעוצב עם צווארון כפתור, כיס חזה יחיד ושולי צורה עדינים. חולצות יומיומיות החכמות המושלמות שתלבש פעם אחר פעם.</p><ul><li>חולצהמכופתרת</li><li>כותנה מוברשת</li><li>שרוול ארוך</li><li>Single pocket</li></ul><p><br /></p>",צבע אבן טבעי
https://www.next.co.il/he/_next/data/1014384/he/style/su305096/b30999.json,"תכול - חולצת אוקספורד עם שרוולים ארוכים, %100 כותנה סרוקה",B30-999,96,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B30999s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B30999s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B30999s3.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B30999s4.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B30999s5.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B30999s6.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B30999s7.jpg","<p data-sl-variant=""toneOfVoice"">חולצות אוקספורד שלנו, קלאסיות בארון בגדים, עשויות מכותנה בעלת מרקם מוברש לתחושה רכה ונוחה. מעוצב עם צווארון כפתור, כיס חזה יחיד ושולי צורה עדינים. חולצות יומיומיות החכמות המושלמות שתלבש פעם אחר פעם.</p><ul><li>חולצהמכופתרת</li><li>כותנה מוברשת</li><li>שרוול ארוך</li><li>Single pocket</li></ul><p><br /></p>",תכול
https://www.next.co.il/he/_next/data/1014384/he/style/su305096/b43554.json,"לבן - חולצת אוקספורד עם שרוולים ארוכים, %100 כותנה סרוקה",B43-554,96,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B43554s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B43554s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B43554s3.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B43554s4.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B43554s5.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B43554s6.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B43554s7.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B43554s8.jpg","<p data-sl-variant=""toneOfVoice"">ארון בגדים קלאסי, חולצות אוקספורד לבן שלנו עשוי מכותנה בעלת מרקם מוברש לתחושה רכה ונוחה. מעוצב עם צווארון כפתור, כיס חזה יחיד ושולי צורה עדינים. חולצות יומיומיות החכמות המושלמות שתלבש פעם אחר פעם.</p><ul><li>חולצהמכופתרת</li><li>כותנה מוברשת</li><li>שרוול ארוך</li><li>Single pocket</li></ul><p><br /></p>",לבן
https://www.next.co.il/he/_next/data/1014384/he/style/su119060/ad0424.json,לבן - חולצת אוקספורד מכופתרת ללא-גיהוץ עם שרוול קצר,AD0-424,83,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AD0424s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AD0424s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AD0424s3.jpg","<p data-sl-variant=""toneOfVoice"">באוסף של עיצובים וצבעים מושכים את העין, שרוולים קצרים אוקספורד אריג חולצות זה מושלם לקיץ. </p><p>Crafted from a cotton blend, it features a button-up fastening and a button-down collar, finished with a chest pocket.</p><ul><li>גזרה רגילה</li><li>חולצהמכופתרת</li><li>שרוול קצר</li><li>רכיסה קדמית בכפתורים</li><li>צווארון עם כפתורים.</li><li>כיס על החזה</li></ul>",לבן
https://www.next.co.il/he/_next/data/1014384/he/style/su119060/n16911.json,תכול - חולצת אוקספורד מכופתרת ללא-גיהוץ עם שרוול קצר,N16-911,83,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16911s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16911s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16911s3.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16911s4.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16911s5.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16911s6.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16911s7.jpg","<p data-sl-variant=""toneOfVoice"">באוסף של עיצובים וצבעים מושכים את העין, שרוולים קצרים אוקספורד אריג חולצות זה מושלם לקיץ. </p><p>Crafted from a cotton blend, it features a button-up fastening and a button-down collar, finished with a chest pocket.</p><ul><li>גזרה רגילה</li><li>חולצהמכופתרת</li><li>שרוול קצר</li><li>רכיסה קדמית בכפתורים</li><li>צווארון עם כפתורים.</li><li>כיס על החזה</li></ul>",תכול
https://www.next.co.il/he/_next/data/1014384/he/style/su119060/n16905.json,כחול כהה - חולצת אוקספורד מכופתרת ללא-גיהוץ עם שרוול קצר,N16-905,83,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16905s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16905s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16905s3.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16905s4.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16905s5.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16905s6.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/N16905s7.jpg","<p data-sl-variant=""toneOfVoice"">באוסף של עיצובים וצבעים מושכים את העין, שרוולים קצרים אוקספורד אריג חולצות זה מושלם לקיץ. </p><p>Crafted from a cotton blend, it features a button-up fastening and a button-down collar, finished with a chest pocket.</p><ul><li>גזרה רגילה</li><li>חולצהמכופתרת</li><li>שרוול קצר</li><li>רכיסה קדמית בכפתורים</li><li>צווארון עם כפתורים.</li><li>כיס על החזה</li></ul>",כחול כהה
https://www.next.co.il/he/_next/data/1014384/he/style/su305096/b22151.json,"ורוד - חולצת אוקספורד עם שרוולים ארוכים, %100 כותנה סרוקה",B22-151,96,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B22151s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B22151s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B22151s3.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B22151s4.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B22151s5.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B22151s6.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B22151s7.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/B22151s8.jpg","<p data-sl-variant=""toneOfVoice"">ארון בגדים קלאסי, אוקספורד ורוד חולצות שלנו עשוי מכותנה בעלת מרקם מוברש לתחושה רכה ונוחה. מעוצב עם צווארון מכופתר, כיס חזה אחד ומכפלת מעוצבת עדינה. חולצות יומיומיות החכמות המושלמות שתלבש פעם אחר פעם.</p><ul><li>חולצהמכופתרת</li><li>כותנה מוברשת</li><li>שרוול ארוך</li><li>Single pocket</li></ul><p><br /></p>",ורוד
https://www.next.co.il/he/_next/data/1014384/he/style/su410287/au5450.json,"כחול  - חולצת ג'רזי עבה עם מרקם, %100 כותנה",AU5-450,83,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s3.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s4.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s5.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s6.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s7.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s8.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s9.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/AU5450s10.jpg","<p data-sl-variant=""toneOfVoice"">ספורט אלגנט מעולם לא נראה טוב כמו חולצות החולצות עם המרקם הזה. Pieces קצרים חולצות מסוגנן זה מעוצב בהתאמה נינוחה מבד בעל מרקם כבד משקל עם כיסי תיקון קדמיים גדולים. סופר תכליתי, שמלה למטה עם ג'ינס ונעלי ספורט או סגנון עם מכנסיים מחוייטים ונעלי מוקסין.</p><ul><li>בד בעל מרקם כבד</li><li>גזרה נוחה</li><li>Piecesבגדים ליבה</li></ul>",כחול 
https://www.next.co.il/he/_next/data/1014384/he/style/su410287/e96296.json,"בז' - חולצת ג'רזי עבה עם מרקם, %100 כותנה",E96-296,83,"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E96296s.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E96296s2.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E96296s3.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E96296s4.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E96296s5.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E96296s6.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E96296s7.jpg
https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E96296s8.jpg","<p data-sl-variant=""toneOfVoice"">ספורט אלגנט מעולם לא נראה טוב כמו חולצות החולצות עם המרקם הזה. Pieces קצרים חולצות מסוגנן זה מעוצב בהתאמה נינוחה מבד בעל מרקם כבד משקל עם כיסי תיקון קדמיים גדולים. סופר תכליתי, שמלה למטה עם ג'ינס ונעלי ספורט או סגנון עם מכנסיים מחוייטים ונעלי מוקסין.</p><ul><li>בד בעל מרקם כבד</li><li>גזרה נוחה</li><li>Piecesבגדים ליבה</li></ul>",בז'
